bin,exam_exercise,animal,consult_idx,line,categories,n_categories
69e76ba036566621a8d77c09,EX1,Isopp,0,Transition en 6 jours avec ajout progressif des nouvelles croquettes dans l'ancienne ration jusqu'à atteindre 100% de nouvelles croquettes,transition_alimentaire,1
69e76ba036566621a8d77c09,EX1,Isopp,0,Ajout de haricots possible pour atteindre la satieté,satiete_appetit,1
69e76ba036566621a8d77c09,EX1,Isopp,0,Suivi régulier nécessaire pour adapter la ration et suivre l'évolution du poids,suivi_poids_et_clinique,1
69e76d0b856a68218958d2d6,EX1,Isopp,0,"réaliser la transition alimentaire sur 7j, réaliser un suivi de poids, placer la ration dans des jeux",transition_alimentaire;suivi_poids_et_clinique;activite_physique,3
69e76d0b856a68218958d2d6,EX2,Mochi,0,"Réaliser la transition alimentaire sur une semaine, cuire tous les aliments à l'eau ou à la vapeur, pour le riz cuisson deux fois plus longue que indiquée sur le paquet, réaliser un suivi de poids, faire attention au tri, séparer la ration en plusieurs repas",transition_alimentaire;cuisson;distribution_repas;suivi_poids_et_clinique,4
69e76d3536566621a8d783d5,EX1,Isopp,0,faire une transition alimentaire sur 6jours,transition_alimentaire,1
69e76d3536566621a8d783d5,EX1,Isopp,0,suivi clinique,suivi_poids_et_clinique,1
69e76d3536566621a8d783d5,EX1,Isopp,0,faire 2 à 3 repas / jours,distribution_repas,1
69e76d3536566621a8d783d5,EX1,Isopp,0,gamelle anti glouton,distribution_repas,1
69e76d3536566621a8d783d5,EX2,Mochi,0,transition alimentaire,transition_alimentaire,1
69e76d3536566621a8d783d5,EX2,Mochi,0,suivi clinique,suivi_poids_et_clinique,1
69e76d3536566621a8d783d5,EX2,Mochi,0,ration à répartir sur toute la journée,distribution_repas,1
69e76d4f856a68218958d3ed,EX1,Isopp		,0,Ration avec apport en protéine augmenté : la satiété devrait arriver plus vite,satiete_appetit,1
69e76d4f856a68218958d3ed,EX1,Isopp		,0,"Procéder à une transition alimentaire sur 6 jours ( 2 jours : 75% aliment initial, 25% nouvel aliment, 2 jours : 50% aliment initial, 50% nouvel aliment et 2 jours 25% aliment initial et 75% nouvel aliment)",transition_alimentaire,1
69e76d4f856a68218958d3ed,EX1,Isopp		,0,Suivi régulier du poids de Isopp (toutes les deux semaines),suivi_poids_et_clinique,1
69e76d4f856a68218958d3ed,EX1,Isopp		,0,"Espacer les repas (moitié de la ration le matin, autre le soir par exemple)",distribution_repas,1
69e76d4f856a68218958d3ed,EX1,Isopp		,0,Veillez à ce que Isopp ait toujours à boire,hydratation_eau,1
69e76d4f856a68218958d3ed,EX2,Mochi,0,"Transition alimentaire sur 6 jours ( 2 jours : 75% aliment initial, 25% nouvel aliment, 2 jours : 50% aliment initial, 50% nouvel aliment et 2 jours 25% aliment initial et 75% nouvel aliment)",transition_alimentaire,1
69e76d4f856a68218958d3ed,EX2,Mochi,0,Cuire le riz deux fois plus longtemps que pour un humain,cuisson,1
69e76d4f856a68218958d3ed,EX2,Mochi,0,Veillez à espacer les repas,distribution_repas,1
69e76dd036566621a8d78678,EX1,Isopp,0,Nouvelle game de croquette pour animaux stérilisé avec un taux plus élevé de protéines et une densité énergétique plus faible dans le but d'atteindre la sasiétée et de faire perdre du poids,,0
69e76dd036566621a8d78678,EX1,Isopp,0,"Effectuer la transition alimentaire sur 6 jours ( 25% nouvelle ration et 75% ancienne, puis 50/50 après 2 jours; puis 75/25 après 4 )",transition_alimentaire,1
69e76dd036566621a8d78678,EX1,Isopp,0,proproser la ration répartie plusieurs fois dans la journée et dans une gamelle anti-glouton,distribution_repas,1
69e76dd036566621a8d78678,EX1,Isopp,0,Faire un suivi de l'évolution du poids toute les 2 semaines,suivi_poids_et_clinique,1
69e76dd036566621a8d78678,EX2,Mochi ,0,Conseil de préparation:,preparation_recette,1
69e76dd036566621a8d78678,EX2,Mochi ,0,Bien cuire à l'eau le riz ( 2 fois plus longtemps que le temps de cuisson indiqué) et les haricots,cuisson,1
69e76dd036566621a8d78678,EX2,Mochi ,0,Cuire le colin à l'eau,cuisson,1
69e76dd036566621a8d78678,EX2,Mochi ,0,"Réaliser la transition alimentaire sur 6 jours, en augmentant progressivement le nouvel aliment vis à vis de l'ancien",transition_alimentaire,1
69e76dd036566621a8d78678,EX2,Mochi ,0,"Proposer la ration divisée à plusieurs moments de la journée, et si possible via des jeux",distribution_repas;activite_physique,2
69e76dd036566621a8d78678,EX2,Mochi ,0,Faire un suivi du poids et de la concordance de la ration,suivi_poids_et_clinique,1
69e76dd0aaba88219721059a,EX1,Isopp,0,Faire la transition alimentaire sur 6 jours. Favoriser la prise sociale. Faire un suivi du poids régulier afin d'ajuster la ration au besoin,transition_alimentaire;suivi_poids_et_clinique;aspects_sociaux,3
69e76dd0aaba88219721059a,EX2,Mochi,0,Faire cuire le colin et le riz dans l'eau (cuisson 2 fois plus longue que pour l'homme pour le riz),cuisson,1
69e76dd0aaba88219721059a,EX2,Mochi,0,Diviser les repas dans la journée,distribution_repas,1
69e76dd0aaba88219721059a,EX2,Mochi,0,Faire la transition alimentaire sur 6 jours,transition_alimentaire,1
69e76dd0aaba88219721059a,EX2,Mochi,0,Faire un suivi du poids régulier,suivi_poids_et_clinique,1
69e76dda856a68218958d68c,EX1,Isopp,0,Eau disponible a volonté pour maintenir une hydratation optimale,hydratation_eau,1
69e76dda856a68218958d68c,EX1,Isopp,0,Distribuer en plusieurs repas ( si possible 3),distribution_repas,1
69e76dda856a68218958d68c,EX1,Isopp,0,distribuer dans des tapis de fouilles ou enrichissment,distribution_repas,1
69e76dda856a68218958d68c,EX2,Mochi,0,Distribuer en plussieurs fois,distribution_repas,1
69e76dee36566621a8d78797,EX1,Isopp,0,Faire une transition alimentaire,transition_alimentaire,1
69e76dee36566621a8d78797,EX1,Isopp,0,Distribuer l'alimentation en plusieurs fois,distribution_repas,1
69e76dee36566621a8d78797,EX1,Isopp,0,Suivre le poids de l'animal,suivi_poids_et_clinique,1
69e76dee36566621a8d78797,EX2,Mochi ,0,Cuire le colin et le riz à l'eau. Le riz doit être cuit deux fois plus longtemps que pour l'Homme,cuisson,1
69e76dee36566621a8d78797,EX2,Mochi ,0,Faire une transition alimentaire,transition_alimentaire,1
69e76dee36566621a8d78797,EX2,Mochi ,0,Distribuer la ration en plusieurs fois,distribution_repas,1
69e76dee36566621a8d78797,EX2,Mochi ,0,Suivre le poids de Mochi (toute les 2 semaines environ),suivi_poids_et_clinique,1
69e76df6aaba8821972106e8,EX1,Isopp,0,Faire une transition alimentaire sur 6 jours :,transition_alimentaire,1
69e76df6aaba8821972106e8,EX1,Isopp,0,1/4 des nouvelles croquettes et 3/4 des anciennes pendant 2 jours,transition_alimentaire,1
69e76df6aaba8821972106e8,EX1,Isopp,0,2/4 des nouvelles et 2/4 des anciennes pendant 2 jours,,0
69e76df6aaba8821972106e8,EX1,Isopp,0,3/4 des nouvelles et 1/4 des anciennes pendant 2 jours,,0
