bin,exam_exercise,animal,consult_idx,n_lines,categories_detected,activite_physique,aspects_sociaux,complementation_cmv,cuisson,distribution_repas,enrichissement_environnement,hydratation_eau,interdits_aliments,justification_clinique,morceaux_decoupe,objectif_poids,ordre_ingredients,preparation_recette,satiete_appetit,suivi_poids_et_clinique,transition_alimentaire,text
69e76ba036566621a8d77c09,EX1,Isopp,0,3,satiete_appetit;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"Transition en 6 jours avec ajout progressif des nouvelles croquettes dans l'ancienne ration jusqu'à atteindre 100% de nouvelles croquettes.
Ajout de haricots possible pour atteindre la satieté.
Suivi régulier nécessaire pour adapter la ration et suivre l'évolution du poids."
69e76d0b856a68218958d2d6,EX1,Isopp,0,1,activite_physique;suivi_poids_et_clinique;transition_alimentaire,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"réaliser la transition alimentaire sur 7j, réaliser un suivi de poids, placer la ration dans des jeux"
69e76d0b856a68218958d2d6,EX2,Mochi,0,1,cuisson;distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,"Réaliser la transition alimentaire sur une semaine, cuire tous les aliments à l'eau ou à la vapeur, pour le riz cuisson deux fois plus longue que indiquée sur le paquet, réaliser un suivi de poids, faire attention au tri, séparer la ration en plusieurs repas"
69e76d3536566621a8d783d5,EX1,Isopp,0,4,distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"faire une transition alimentaire sur 6jours
suivi clinique
faire 2 à 3 repas / jours 
gamelle anti glouton"
69e76d3536566621a8d783d5,EX2,Mochi,0,3,distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"transition alimentaire
suivi clinique
ration à répartir sur toute la journée"
69e76d4f856a68218958d3ed,EX1,Isopp		,0,5,distribution_repas;hydratation_eau;satiete_appetit;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,"Ration avec apport en protéine augmenté : la satiété devrait arriver plus vite.
Procéder à une transition alimentaire sur 6 jours ( 2 jours : 75% aliment initial, 25% nouvel aliment, 2 jours : 50% aliment initial, 50% nouvel aliment et 2 jours 25% aliment initial et 75% nouvel aliment).
Suivi régulier du poids de Isopp (toutes les deux semaines).
Espacer les repas (moitié de la ration le matin, autre le soir par exemple).
Veillez à ce que Isopp ait toujours à boire."
69e76d4f856a68218958d3ed,EX2,Mochi,0,3,cuisson;distribution_repas;transition_alimentaire,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"Transition alimentaire sur 6 jours ( 2 jours : 75% aliment initial, 25% nouvel aliment, 2 jours : 50% aliment initial, 50% nouvel aliment et 2 jours 25% aliment initial et 75% nouvel aliment).
Cuire le riz deux fois plus longtemps que pour un humain.
Veillez à espacer les repas."
69e76dd036566621a8d78678,EX1,Isopp,0,4,distribution_repas;suivi_poids_et_clinique;transition_alimentaire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Nouvelle game de croquette pour animaux stérilisé avec un taux plus élevé de protéines et une densité énergétique plus faible dans le but d'atteindre la sasiétée et de faire perdre du poids.
Effectuer la transition alimentaire sur 6 jours ( 25% nouvelle ration et 75% ancienne, puis 50/50 après 2 jours; puis 75/25 après 4 )
proproser la ration répartie plusieurs fois dans la journée et dans une gamelle anti-glouton.
Faire un suivi de l'évolution du poids toute les 2 semaines."
69e76dd036566621a8d78678,EX2,Mochi ,0,6,activite_physique;cuisson;distribution_repas;preparation_recette;suivi_poids_et_clinique;transition_alimentaire,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,"Conseil de préparation:
Bien cuire à l'eau le riz ( 2 fois plus longtemps que le temps de cuisson indiqué) et les haricots.
Cuire le colin à l'eau
Réaliser la transition alimentaire sur 6 jours, en augmentant progressivement le nouvel aliment vis à vis de l'ancien.
Proposer la ration divisée à plusieurs moments de la journée, et si possible via des jeux.
Faire un suivi du poids et de la concordance de la ration."
69e76dd0aaba88219721059a,EX1,Isopp,0,1,aspects_sociaux;suivi_poids_et_clinique;transition_alimentaire,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Faire la transition alimentaire sur 6 jours. Favoriser la prise sociale. Faire un suivi du poids régulier afin d'ajuster la ration au besoin.
